SMILES,pIC50
C12=C(SC(=C1CCCC3=C2N(N=C3)CC)Cl)Cl,6.31
C1(=CNC2=C1C=CC=C2)CN3CCC(CC3)C,5.26
C=12C3C(N(C)CCC3)CCC1C(O)=CC=C2,6.94
C=1(C(C)=CC=CC1)OCCCNCCOC2=CC=C(C=C2)C,6.53
N1(CCN(CCC2=CC(Cl)=C(C=C2)Cl)C)CCCCC1,5.92
N1(CCC(CC1)C=2C=CC=CC2)CCC,6.8
C=1(C(C2(OC1)CCNCC2)=O)C3=CC=CC=C3,5
C1(=C(C=2C=CC=CC2N1)CCN(C)C)C(=O)OCC,7.23
N1=C(SC2=C1CCN(CC=C)CC2)N,8.24
C=12C=3C(=CNC3C=CC1CCC(C2)N(CC=C)CCC)C=O,7.23
S(=NC=1C=C2OC(CCC2=CC1)CNCCCO)(O)(=O)C,6.99
C1CN(CCN2CCCCCC2)C(=O)N1C=3C=CC=CC3C,6.2
OC1=C2CCC(N(CCC3=CC=CC=C3)CCC)CC2=CC=C1,9.30103
OC1=C2C[C@@H]3[C@H](N(CCC3)C)CC2=CC=C1,7.60206
N1(C[C@H](C2=CC(O)=CC=C2)CCC1)C,6.54
N1(C[C@@H](C2=CC(O)=CC=C2)CCC1)C,6.21
N1(CC(C2=CC(O)=CC=C2)CCC1)C,5.71
O(CCN1CCCC1)C=2C(C(=O)C=3C=CC=CC3)=CC=CC2,5.27433
C=1([C@H]2CN(CCC2)CCC)C=CC=C(C1)S(=O)(C)=O,6.35
C=1([C@H]2CN(CCC2)CCC)C=CC=C(C1)S(=O)(C)=O,5.2
C1(N(C=2C(N1C3CCN(CC3)CCC)=CC=C(C2)Cl)C)=O,5.7
N12C=3C(=CC=CC3CCC1)CC(C2)N(CCC)CCC,7.46
N=1C=2C(C=CC1N3CCN(CC(=O)O)CC3)=CC=CC2,6.04
[C@H]12N(CCC1CC=3C(OC)=CC=CC3C2)CCC,7
[C@H]12N(CCC1CC=3C(OC)=CC=CC3C2)CCC,6.06
C=12C3=C(NC=C3)C=CC1CCC(C2)NCCC,7.32
C12=C3C(NC=C3)=CC=C1CC[C@H](C2)N(C)C,7.82
C12=C3C(NC=C3)=CC=C1CC[C@@H](C2)N(C)C,6.42
C12=C3C(NC=C3)=CC=C1CCC(C2)N(C)C,7.62
ClC1=CC2=C(C(N(CC2)C)CCCC)C=C1O,6.403
N1(CC2CC2)CCC(COC=3C=C4C=CNC4=CC3)CC1,5.63
[C@@H]12C=3C(CC[C@H]1CN(CC2)CCCC)=CC=CC3,6.41
FCCOCCN1N=NC(CN2CCN(CC2)C=3C(OC)=CC=CC3)=C1,6.12494
C=12CC(N(CCC=3SC=CC3)CCC)CCC1C=CC(=C2)O,9.12
C=1(C=CC(F)=C2C1C[C@H](CC2)N(CCC)CCC)O,5.42
C=1(C=CC(F)=C2C1C[C@H](CC2)N(CCC)CCC)O,6.4
N=1NC(=C2C=CC=CC12)C3CCN(CC3)CCC,6.73
C1=2C(CC(CC1)NCCC)=CC=C(C2)F,6.79
C1N(C=2C=CC=C(C2)Cl)C(=O)N(CC3CCCNC3)C1,6.2
C1CN2C(CN1)CC=3C4=C2C=CC=C4NC3,5.68
C12=C(C(O)=CC=C1CC(CC2)N)O,6.15
N1(CCN(CC=2C=C(Cl)C(=CC2)Cl)C)CCCC1,5.89
N1([C@H]2[C@H](CCC1)CC3=NNC=C3C2)CCC,8.13077
N1([C@H]2[C@H](CCC1)CC3=NNC=C3C2)CCC,8.04576
C12(C=3C(=CC=CC3)CC1)CCN(CC2)CCCC,5.4
C12=C3C(=CNC3=CC=C1CCC(C2)N(CCC)CCC)C=O,7.4
S1C=C(N=C1N)C=2CN(CCC2)CCCC,5.67366
C12=C3SC(N)=NC3=CC=C1OCC(C2)N(CCC)CCC,7.33
C12=C3SC(N)=NC3=CC=C1OCC(C2)N(CCC)CCC,6.83
C1CN2C(CN1CC(C)C)CC=3C4=C2C=CC=C4NC3,6.51
C1=2OC(CNCCCCC)CCC1=CC=C(C2)O,8.92
N1(C[C@H](C=2C=C(SC)C=CC2)CCC1)CCC,6.07
N(C1C2C3C4C2CC5C4CC3C51)CCC6=NC=CC=C6,5.0041
C=12O[C@@H](CNCC3=CC=CC=C3)CCC1C=CC(=C2)O,9.8
C1=2OC(CNCC3=CC=CC=C3)CCC1=CC=C(C2)O,8.01
C1=2OC(CNCC3=CC=CC=C3)CCC1=CC=C(C2)O,9.7
C1=2C(NC(=C1)O)=C(F)C=CC2OCCNCC=3SC=CC3,9.18
O=CC=1N(C2CCN(CC2)CC3=CC=CC=C3)C=CC1,5.85387
[C@H]12N(CC[C@H]1CC=3C(O)=CC=CC3C2)CCC,6.04
[C@@H]12N(CC[C@@H]1CC=3C(O)=CC=CC3C2)CCC,7.96
[C@H]12N(CCC1CC3=C(O)C=CC=C3C2)CCC,8.62
[C@H]12N(CCC1CC3=C(O)C=CC=C3C2)CCC,7.77
C12N(CCC1CC=3C(O)=CC=CC3C2)CCC,7.96
C12N(CCC1CC=3C(O)=CC=CC3C2)CCC,6.53
C=12O[C@@H](CNCC3=CC=CC=C3)COC1C=CC(=C2)O,9.46
N1(C[C@H](C2=CC(O)=CC=C2)CCC1)CC,6.92
N1(C[C@@H](C2=CC(O)=CC=C2)CCC1)CC,6.27
N#CC1=CC([C@H]2CN(CCC)CCC2)=CC=C1,6.92
N#CC1=CC([C@H]2CN(CCC)CCC2)=CC=C1,5.94
N#CC1=CC(C2CN(CCC)CCC2)=CC=C1,6.4
C1(=C(C2=CC=CC=C2N1)CCN(CC)C)C3=CC=CC=C3,7.07
C1(=NC=2C=CC=CC2S1)C3C=CN(CC3)CC4=CC(Cl)=CC=C4,6.47
ClC=1C(N2CCN(CC2)CCC3=CC=CC=C3)=CC=CC1,7.17393
N1(C(=O)CSC1)CCCCN2CCN(CC2)C3=CC(Cl)=CC=C3,5.66
O(C=1C=C(C2CCN(CC2)CCC)C=CC1)C,5.82391
S1C=2C=C3C[C@H](NCC)CC3=CC2N=C1N,6.82391
C(C1CC(C2CNCC2)=CC=C1)(F)(F)F,7
C1\2C(CC(CC1)N(CCC)CCC)=CCC/C2=N\OC,5.64
C=1C=C(C2=C(C1)C[C@@H]3[C@@H](C2)CCCN3CCC)O,9.77
C=1C=C(C2=C(C1)C[C@@H]3[C@@H](C2)CCCN3CCC)O,5.56
[C@H]12N(CC[C@H]1CC=3C(O)=CC=CC3C2)CC=C,6.63
[C@H]12N(CC[C@H]1CC=3C(O)=CC=CC3C2)CC=C,7.33
[C@H]12N(CCC1CC3=C(O)C=CC=C3C2)CC=C,8.85
[C@H]12N(CCC1CC3=C(O)C=CC=C3C2)CC=C,7.6
C1=2C(CC(C1)N(CCCF)CCC)=CC(=C(C2)OC)OC,5.74
N12C(CN(CC1)CC)CC=3C=4C2=CC=CC4NC3,6.85387
N1=C2C(CC(CC2)N(CCC)CCC)=CC=C1OC,5.92
C12=C(OCC(C1)N(CCC)CCC)C=CC(=C2)O,7.88
C1=2OC(CNCCC=3C=CC=CC3)CCC1=CC=C(C2)O,9.1
O(C=1C(N2CCN(CC2)CC3=CC=CN=C3)=CC=CC1)CC,6.59346
N1(CCC(N2C(=CC=C2)C#C)CC1)CC3=CC=CC=C3,5.20066
C1=2C(NC(=C1)O)=C(Cl)C=CC2OCCNCC=3SC=CC3,9.22
N(C1CC(C=2C(C1)=CC=CC2)C3=CC=CC=C3)CC=C,5.22185
S1C=2C=C3CCN(CCC3=CC2N=C1N)C,5.85387
N1(CC2CC2)CCC(COC3=CC=C(SC)C=C3)CC1,5.7
N=1C(C=2CN(CC)CCC2)=CSC1N,6.39
N1(CC2=CC=CC=C2)CCC(CC1)COCCCC=3C=CC=CC3,6.08
N1(CC2=CC=CC=C2)CCC(CC1)COCCCC3=CC=CC=C3,6.26
C1=2OC(CNCC3=CC=C(C=C3)O)CCC1=CC=C(C2)O,9.22
C=1(Cl)C=CC(=CC1)OCCNCCCOC2=CC=C(C=C2)F,6.61
N1(C=2C(OCC)=CC=CC2)CCNCC1,6.84
N1(C=2C(CCC)=CC=CC2)CCNCC1,6.42
C1=CC2=C(C=C1)NC3=C(C=C(S3)C)C(N4CCNCC4)=N2,8.05
C=1(C(=CC=C(C1)CCN(CCC2=CC=CC=C2)CC)F)O,6.64
C1N(CCC2=C(CC3=C(C1)C=CC=C3)C=CS2)C,7.04
C=1C=C(OCCCN2CCN(CC2)C=3N=CC=CN3)C=CC1F,6.2
C12C=3C(CCCC1CN(CC2)CCCC)=CC=CC3,6.78
C1C2=C(CC3C4=C(C=C(C=C14)O)CCN3C)C=CC=C2,5.05
N1(CCN(CC1)C2=CC=CC=C2)CC=3C=4C(NC3)=CC=CC4,6.92082
C=12C(CN(C)CCC1C=C(C(=C2)O)Cl)C3CCCC3,5.69
C1CN2C(CN1CCC(C)C)CC=3C4=C2C=CC=C4NC3,7.62
C1(=CCN(CC1)CCCC#CC2=CN=CC=C2)C3=CC=CC=C3,7.25
OC=1C=C2C(C(N(CC2)C)CC=3C(=CC=CC3)C)=CC1,5.56479
C1=2C(CC(C1)N(CC)CCC)=CC(=C(C2)OC)OC,6.43
C1CN(CCN2CCCCCC2)C(=O)N1C3=CC=NC=C3,6.2
S1C(CN2CCN(CC2)C=3C(OCC)=CC=CC3)=CC=C1,6.79048
C12[C@H](N(CCC)CC1)CCC=3C2=C(OC)C=CC3,7.17
C1(C2CCN(CC2)CCC)=CC=CC(=C1)O,6.46
N12C(OC3=C1C(=CC=C3)CC(C2)N(CCC)CCC)=O,6.05
S1C=2C=C3CCN(CCC3=CC2N=C1N)CC=4N=CON4,5.30103
C=1(C=C(O)C(=CC1)O)C(C(N)C)O,5.05
C12=C(NC=C1Cl)C(Cl)=CC=C2OCCNCC=3C=CC(=CC3)F,7.3
C12=CC(O)=C(C=C1CCNC2CC3=CC=CC=C3)O,6.19
N1C=2C(=CC=CC2OCCNCC3=CC=CC=C3)N=C1C,7.82
N1C=2C(=CC=CC2OCCNCC3=CC=CC=C3)N=C1C,8.36
N12C(SC3=CC=CC=C3C(=C1)N4CCN(CC4)C)=CC=C2CO,6.07
C12=C(CC(CC1)N(CCC)CCC)C=CC(=C2N)F,7.07
C(C1=CC(C2CN(CCC)CCC2)=CC=C1)(F)(F)F,6.1
OC1=CC(C2CN3C(CC2)CCCC3)=CC=C1,5.10237
C1(=NC2=C(C=CN=C2)SC=3C1=CC=CC3)N4CCN(CC4)C,5.64
C1N(C2=CC=CN=C2)C(=O)N(CC3CCCCN3)C1,6.3
C=12N(N=CC1C=O)CCC(C2)N(CCC)CCC,5.4
C1N(CCN(C1)CCC)C2=C(C=CC=C2)OC,7.7
N1(CCN(CC1)CC=2NC=CC2)C3=CC=CC=C3,5.52
N1(C2=C(OC)C=CC=C2)CCN(CC1)CCCC,7.69
C1=2OC(CNCC=3C=CN=CC3)CCC1=CC=C(C2)O,8.96
C=12[C@@H]3[C@@H](N(CCC)CCC3)CCC1C(O)=CC=C2,6.8
C=12C3C(N(CCC)CCC3)CCC1C(O)=CC=C2,7.2
C=12[C@H]3[C@@H](N(CCC)CCC3)CCC1C(O)=CC=C2,7.47
N1(CCN(CC1)CC2=CNC(C#N)=C2)C3=CC=CC=C3,5.62
C=12C(=CC(=C(C1)O)O)CC[C@@H](N)C2,6.92
OC=1C=C2CC(N)CCC2=CC1O,7.18243
OC1=C2C[C@@H](N(CCC)CCC)CCC2=CC=C1,5.29482
OC1=C2C[C@H](N(CCC)CCC)CCC2=CC=C1,6.08302
C=1C=CC=2CC[C@H](CC2C1O)N(CCC)CCC,7.05
C1(N(CCC)CCC)CCC=2C(C1)=C(C=CC2)O,7.08
C1(N(CCC)CCC)CCC=2C(C1)=C(C=CC2)O,8.28
C1=C(C=C2C(CC3=C(CCN(CC2)C)C=CC=C3)=C1)OC,9.26
C1=CC=CC=2CCC(OC12)CN3CCN(CC3)CC4=CC=CC=C4,8.44
N#CC1=CC([C@H]2CN(CCCN(C)C)CCC2)=CC=C1,5.63
C1(C(CCC2=C1C=CC=C2)C3CCN(CC4CC4)CC3)=O,5.97
N(CCCOC=1C=CC=CC1)CCCC2=CC=C(C=C2)C,6.44
C1=CC=2N(N=CC2CN3CCN(CC3)C=4C=CC=CC4O)C=C1,5.35
S1C(=CC=C1S(NC2CN(CC2)CCOC3=CC=CC=C3)(=O)=O)Cl,6.5
S(OC1=CC([C@H]2CN(CCC)CCC2)=CC=C1)(=O)(=O)C,6.72
S(OC1=CC([C@H]2CN(CCC)CCC2)=CC=C1)(=O)(=O)C,5.38
N(CCCOC1=CC=CC=C1)CCCC=2C=CC=CC2,6.28
[N+]1(=C2C(C3CCCC(C3CC2)O)=CC=C1)CCCC,5.85
C12=C(C=C(C=C1)O)CCC(C2)N(C/C=C/I)CCC,8.01
N12C=NC3=C1C(=CC=C3)C[C@H](C2)NC,6.45
C=12C3C(N(CCC)CCC3)CCC1C=C(C=C2)O,6.14
N1=C(SC2=C1C=C3C(CC(C3)NCCC)=C2)N,5.87
C12=C3C(=CNC3=CC=C1CCC(C2)N(CCC)CCC)C,7.85
N1(C[C@H](C=2C=C(CO)C=CC2)CCC1)CCC,6.62
N1(C[C@H](C=2C=C(CO)C=CC2)CCC1)CCC,6.39
C=1C(Cl)=CC=CC1OCCNCCCOC=2C=CC=CC2,7.66
C1(=CC=CC(=C1)O)C2CCN(CC2)CC3=CC=CC=C3,7.46
ClC1=C(N2CCN(CC2)CC=3SC=CC3)C=CC=C1Cl,5.81107
O(CCN(CC)CC)C=1C(CC2=CC=CC=C2)=CC=CC1,5.69379
ClC=1C(OCCNCCCOC2=CC=CC=C2)=CC=CC1,6.95001
C1=2C(C(CNCCCC3=CC=CC=C3)CCO1)=CC=CC2OC,6.21
O(C=1C(CCC2=CC=CC=C2)=CC=CC1)CC3=CC=CC=C3,5.30103
C1=2C(OCC(C1)CN(CCC)CCC)=CC=CC2OC,5.59
C12=C(CC(C1)N(CCC)CCC)C=CC(=C2)O,7.28
C1(=CNC2=C1C=CC=C2)C=3CCNCC3,6.7
CCC(C1=CC=C(O)C=C1)C(C2=CC=C(O)C=C2)=CC,5.35
C=12OC(CNCCCO)CCC1C=CC(=C2)OC,5.89
C=12CC(N(CCC)CCC)CC1C=CC=C2O,8.28
S(=O)(=O)(C=1C=2C(N(C1)CCN)=NC=CC2)C3=CC=CC=C3,5.30103
N(CC12C3C4C1C5C2C3C45)C6C7C8C9C7CC%10C6C8CC9%10,5.24603
C1(C=CN(CC1)CCCCC=2C=CN=CC2)C3=NC=CC=C3,6.49
N1(C=2N=CC=CC2)CCN(CC1)CCC#CC=3C=NC=CC3,5.27
C12=C(SC=C1)CCC(C2)CN(CCC)CCC,5.69
C=12C=C(O)C(=CC1CCNC2CC3=CC(O)=C(C=C3)O)O,5.47
C1(=CC=2CCNC(C2C=C1O)CCCC)Cl,7.12
C1=2OC(CNC3CCCCC3)CCC1=CC=C(C2)O,7.66
C1(=NC=2C=CC=CC2O1)C3C=CN(CC3)CC=4C=CC=CC4,6.62
C12=C(SC3=CC=CN3C=C1N4CCN(CC4)C)SC=C2,8.08
C1=C(OCCNCCCOC=2C=CC=CC2)C=CC=C1C,7.21
N1=C(SC=2C1=CC=C3CC(CC23)N(CCC)CCC)N,6.3
N1=C(SC=2C1=CC=C3CC(CC23)N(CCC)CCC)N,7.73
N1(C[C@H](C=2C=C(C(=O)C)C=CC2)CCC1)CCC,5.18
N1(C2=C(CCC=3C1=CC=CC3)C=CC=C2)CCCN(C)C,6.14
N1(C2=C(CCC=3C1=CC=CC3)C=CC=C2)CCCN(C)C,6.39
C=1(Cl)C(O)=CC2=C(C1)CCN(C2C3=CC=CC=C3)C,7.33
C1=2OC(CNCC3=CC=C(C=C3)F)CCC1=CC=C(C2)O,9.1
S(C=1C=CC=CC1)CCCNCCOC2=CC=C(C=C2)C,6.93
S=1(C2=C(CC(CC2)=O)C3=C(C1)N(CCO3)CCC)O,6.71
C1=2OC(CNCC=3C=CC=CC3)CCC1=CC(Cl)=C(C2)O,8.28
C1=2OC(CNCC=3C=CC=CC3)CCC1=CC(Cl)=C(C2)O,9
C12C=3C(OC4=C(C1)C=CC=C4)=CC(=CC3CCN2C)O,6.57
N1(CCC=2C(CC=3C(CC1)=CC=CC3)=CC=CC2)C,8.07212
[C@@H]12C3=C(C=CC=C3CCN1C)C=4C(C2)=CC=CC4,6.28
OC1=NC2=CC=CC=3CC(CN1C23)NCC4CC4,5.4
O1C2=C(C=CC=C2)CCC1CNCC3=CC=C(C=C3)F,7.13
[N+]1(=C2C(C3CCCC(C3CC2)O)=CC=C1)C,6.03
C1=2C(NC(=C1)O)=C(Cl)C=CC2OCCNCC=3C=CC=CC3,9.39
C1(=CC=CC(=C1)O)N2CCN(CC2)CC3=CC=CC=C3,8.34
C1(=CC=CC(=C1)O)N2CCN(CC2)CC3=CC=CC=C3,8.26
OC=1C=C2C[C@@H](N(CCC)CCC)CCC2=CC1,6.56067
C=12C[C@H](N(CCC)CCC)CCC1C=CC(=C2)O,9.3
C=12C[C@H](N(CCC)CCC)CCC1C=CC(=C2)O,6.52
OC=1C=C2CC(N(CCC)CCC)CCC2=CC1,7.40012
C1C(CCC2=CC=C(C=C12)O)N(CCC)CCC,8.73
N1(C[C@H](C=2C=CC=CC2)CCC1)CCC,5.83
C12=C3C(=CNC3=CC=C1CCC(C2)N(CCC)CCC)Cl,8.01
C1(=CC=C(C=C1)C)OCCNCCCOC2=CC=C(C=C2)C,6.56
N12C(=CC=3C1=C(C=CC3)CC(C2)N(CCC)CCC)O,5.97
O(C=1C=2CCN(CCC2C=CC1)CCC)C,5.4437
[C@@H]12N(CC[C@@H]1CC3=C(OC)C=CC=C3C2)CC=C,6.37
C12N(CCC1CC3=C(OC)C=CC=C3C2)CC=C,6.37
N1(CCN(CCC2=CC(Cl)=C(C=C2)Cl)C)CCCC1,5.95
N(C(SSC(N(CC)CC)=S)=S)(CC)CC,5.12
OC1=CC(N2CCN(CC2)CCC)=CC=C1,7.16115
N1C(=CC(=N1)C)C2CCN(CC2)CC3=CC=CC=C3,6.19
[C@H]1([C@@H](CCC=2C1=CC=CC2)N(CCC)CCC)C,7.06
FC1=CC=C(OCCCN2CCN(CC2)C3=NC=CC=C3)C=C1,6.73049
N1(C(=O)CSC1)CCCCN2CCN(CC2)C=3C=CC(=CC3)Cl,5.06
C1C2=C(CC3C=4C(CCN3CC)=CC(=CC14)OC)C=CC=C2,5.01
CC1=CN(CCCCN(C2CC=C(CC2)C#CC)CCC)N=N1,5.68
C1N(CCN(C1)CCC)C2=CC=C(C=C2)OC,5.2
C=1C(=C(CCN(CCN2CCCC2)CC)C=CC1)OC(F)(F)F,6.58
C1CN(CC2=CC=C(C=C2)OCCF)CCN1C=3C=CC(=CC3)Cl,5.96
N1(C[C@H](C=2C=C(OC)C=CC2)CCC1)CCC,6.22
N1(C[C@H](C=2C=C(OC)C=CC2)CCC1)CCC,5.46
N1([C@@H]2CC=3C=CC=C(C3C[C@H]2CC1)O)CC4CC4,6.93
C12=C(NC=3C1=CC=CC3)CC4N(C2CC4)/C=C/CC,6.15
S1C=2CCC3=C(CCN(C3)CCC)C2N=C1N,5.46496
C=1C=C(SCCCN2CCN(CC2)C=3N=CC=CC3)C=CC1F,6.74
C=12C3C(NCCC3)CCC1C=CC(=C2)O,6.05
C12C(CCC3=NC=CC=C13)C(O)CCC2,5.98
ClC=1C(N2CCN(CC2)CC3=CC=CC=C3)=C4C(NC=C4)=CC1,8.04096
N1(CC2=CC=CC=C2)CCC(CC1)CCOC=3C=CC(F)=CC3,6.94
C=1(C=CC=C(C1)S(C)(=O)=O)N2CCN(CC2)CCC,6.18
C1=2C([C@H](C)[C@@H](CC1)NCCC)=CC=CC2C(=O)OC,5.63
C1=2C(NC(=C1)O)=C(F)C=CC2OCCNCC3=CSC=C3,9.08
C1(C=2C(O)=CC=CC2)CN(CCC)CCC1,5.15
ClC1=C(N2CCN(CC2)CCC)C=CC=C1Cl,8.284
C1(=CN2C(=CC=C2)SC=3C1=CC=CC3)N4CCN(CC4)C,7.89
C1(=CN2C(=CC=C2)SC=3C1=CC=CC3)N4CCN(CC4)C,7.77
C1CN(CC2=CC=CC(=C2)OCCF)CCN1C=3C=CC(=CC3)Cl,6.23
C1(=CC=C(C=C1)OCCNCC=2C=CC=CC2)O,6.95
CCN(CCCC(C1=CC=C(C=C1)F)=O)CC,9.26
N1(C[C@@H](C2=CC(O)=CC=C2)CCC1)CCCC,6.37
N1(C[C@H](C2=CC(O)=CC=C2)CCC1)CCCC,6.56
C1(=NC(NC)=NC(=C1SC)Cl)N2CCN(CC2)C,8.27
N1(CC2=CC=CC=C2)CCC(C(CC=3C=CC=CC3)O)CC1,5.08
C12=C(SC(=C1CCCC=3C2=NNC3)Cl)Cl,6.27
N1(CC2CC2)CCC(COC3=CC(=C(C=C3)Cl)Cl)CC1,5.78
C=1(C=C(O)C(=CC1)O)[C@H]2CN(CCC)CCC2,7.92
C=1(C=C(O)C(=CC1)O)[C@@H]2CN(CCC)CCC2,7.96
C=12C(=CC=C(C1O)O)C(CN)OCC2,5.55
C=12C(=CC=C(C1O)O)[C@H](CN)OCC2,5.55
C1(=C(C2=CC=CC=C2N1)CCN(CC)C)C=3SC=CC3,7.11
C1(=CC=C(C=C1)N2CCN(CC2)CCC3=CC=CC=C3)Cl,6.08
