SMILES,Activity_Flag
C1(C=2C(=CC=CC2)C(C1)C3=CC=C(C=C3)F)N4CCNCC4,1
N1(CC2CC2)CCC(COC3=NC=CC=C3)CC1,1
ClC=1C=C(NC(=O)C2=CC=3CCCN(S(=O)(=O)C)C3C=C2)C(OC)=CC1,0
S(OC1=CC=C(CNC(=O)CCCCCN2CCN(CC2)C=3C(OC)=CC=CC3)C=C1)(=O)(=O)C,1
O1C2=C(OCC1)C=CC(=C2)C=3ON=C(C3)C(OC=4C(=CC=CC4)C)=O,0
O(CC(=O)N1CCN(CC1)CC2=CC=CC=C2)C3=CC=C(C4=NN(C(=O)C5=C4C=CC=C5)C)C=C3,0
N1=C(C=CN(C1=O)CCCCN2CCN(C=3C=C(N=C(N3)C(C)(C)C)C(F)(F)F)CC2)C4CCCCC4,1
C12=C3C(NC=C3)=CC=C1CC[C@H](C2)N(CCC)CCC,1
C1=C(C2=NC(=CN2C=C1C)CN3CCN(CC3)C4=CC=CC=C4OC)C#N,1
C=1C(=CC2=C(C1)C(CC(C2)CN3CCC(CC3)C(C=4C=CC(=CC4)F)=O)=O)C(C)=O,1
C12=C(N=C3N1C=C(C(NCCCN4CCN(CC4)C5=C(OC)C=CC=C5)=N3)Br)N(C)C(N(C2=O)C)=O,1
C=1(C=CC(=CC1)F)C(=O)NCCN2CCN(C=3N=CC=CC3C#N)CC2,1
ClC=1C(NC(=O)CCCCC(=O)NC=2C(Cl)=CC=CC2)=CC=CC1,0
O=C1NC(=O)NC1(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,0
O=C(NC1=C(C=2C=CC=CC2)C=CC=C1)C3=C(N(=O)=O)C=CC=C3,0
O(CC1=CC=CC=C1)C=2C=CC(NC(=O)NC3=CC=CN=C3)=CC2,0
S1C(NC(=O)C=2C(=NOC2C)C=3C=CC=CC3)=NN=C1C4=CC=NC=C4,0
O=C(N1CCCC1)C2=CC(NC(=O)C=3C=CC=CC3)=CC=C2,0
N12C(SC3=CC=CC=C3C(=C1)N4CCN(CC4)C)=CC=C2C=O,1
C1=2OC(CNCCCOC3=CC4=NC=CC=C4C=C3)CCC1=CC=C(C2)O,1
C1(=NSC=2C1=CC=CC2)N3CCN(CC3)CCON4C(CC5(CC4=O)CCCC5)=O,1
S(C(C(=O)NC1CC1)C)C=2N(CCOC)C(=NN2)C3=CC(=CC=C3)C,0
S(C=1OC(=C(N1)C2=CC=CC=C2)C3=CC=CC=C3)CC(=O)C(C(=N)C)C#N,0
S(C=1N=C(N=C2N(C(=O)N(C(=O)C21)C)C)C3=C(F)C=CC=C3)CC(=O)NC4=C(F)C=CC=C4,0
C12[C@H](N(CC=C)CC1)CCC=3C2=C(OC)C=CC3,1
O1C=2C(C(C=3C1=CC=CC3)CC(=O)NC4=C(C=CC=C4)C#N)=CC=CC2,0
C=1C(=CC=C2C1C[C@@H](CC2)N(CCC)CCN3CCN(CC3)C4=CC=CC=C4)OS(C5=CC=C(C=C5)OC)(=O)=O,1
N1(C2CC(CC1CC2)OC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC5=CC(Cl)=C(C=C5)Cl,1
O=C1N(CCC(=O)NC=2C=CC(=CC2)C)C(=O)C=3C1=CC=CC3,0
S(=O)(=O)(NC1=CC=C(C(=O)N2CCN(CC2)C3=CC=C(OC)C=C3)C=C1)C=4C=C(F)C=CC4,0
C1(=CC=CC(=C1)O)[C@H]2CN(CCC2)CCC,1
O(CCCN1CCN(CC1)C=2C=3C(C=CC2)=CC=CC3)C=4C(=CC=5C(C4)=C(O)NC5)C,1
O=C(NC1CCCC1)CN2CCC(CC2)C(=O)C3=CC=4OCCOC4C=C3,0
O=C(C=1C=CC(C2=CC=CC=C2)=CC1)C/C=N/OC,0
C1(=NC2=C(C=CC(=C2)F)CC=3C1=CC=CC3)N4CCN(CC4)C,1
FC=1C=2C(CCCN3CCN(CC3)C4=C5OCCOC5=CC=C4)=CNC2C=CC1,1
ClC1=CC=C(C=2NN=C(C2)C(=O)NCC3=CC=C(F)C=C3)C=C1,0
C1=2OC(CNCC3=CC=C(C=C3)Cl)CCC1=CC=C(C2)O,1
C1(=C(OC)C(OCCF)=CC=C1)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)=O,1
N12C(C(N3CCN(CC3)CC=4C(=CC=C(C4)C)OC)CCC5=C1C(=CC=C5)CC2(C)C)=O,1
O=C(NCC1N(CCC1)CC)C(=O)NC,0
N1(C=2C=C(N(=O)=O)C=CC2CC1)C(CN3CCN(CC3)CC=4C=CC(=CC4)Cl)=O,1
