d_model,dropout,monte_carlo_N,use_monte_carlo_sim,no_mc_fill_val,gamma,episodes_to_train,gae_lambda,ppo_eps,ppo_batch,ppo_epochs,entropy_beta,bias_mode,use_true_reward,reward_params,agent_params,critic_params,expert_model_dir,score
1500,0.0,5,True,0.0,0.97,9,0.909968323866708,0.2,1,8,0.0004765572677809507,max,False,"{'num_layers': 2, 'd_model': 421, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 0.2925347503198279, 'use_validity_flag': -1, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0014805953778484076, 'optimizer__global__lr': 0.44792254979127255}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.011423040529038715, 'optimizer__global__lr': 0.0001612035957629892}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00036112341639469995, 'optimizer__global__lr': 0.5728470013832712}",./model_dir/expert_xgb_reg,2.526
1500,0.0,5,True,0.0,0.97,10,0.999,0.2,1,2,1.0,max,False,"{'num_layers': 2, 'd_model': 273, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 0.8539619807034515, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.0694167482883858, 'optimizer__global__lr': 0.01089843538281918}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00048776643362339185, 'optimizer__global__lr': 0.00020266817114694666}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.021227740893769557}",./model_dir/expert_xgb_reg,2.352
1500,0.0,5,True,0.0,0.97,10,0.9,0.2,1,10,0.005056904826978095,max,False,"{'num_layers': 2, 'd_model': 409, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 0.16263512814168932, 'use_validity_flag': -1, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0014064896395009263, 'optimizer__global__lr': 1.0}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.01118264828998264, 'optimizer__global__lr': 0.0001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 1.0}",./model_dir/expert_xgb_reg,2.333
1500,0.0,5,True,0.0,0.97,10,0.999,0.2,1,5,1.0,max,False,"{'num_layers': 2, 'd_model': 401, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.9166777179273083, 'optimizer__global__lr': 0.07230877344851601}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.060452575284239446}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.6488779517006641}",./model_dir/expert_xgb_reg,2.33
1500,0.0,5,True,0.0,0.97,9,0.9085677201715893,0.2,1,8,0.0006235800911078255,max,False,"{'num_layers': 2, 'd_model': 431, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 0.3146377266357125, 'use_validity_flag': -1, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0009450629211359391, 'optimizer__global__lr': 0.360260920754518}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.01576649521667871, 'optimizer__global__lr': 0.00014495042328887143}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.000411750613037072, 'optimizer__global__lr': 0.7480025162599353}",./model_dir/expert_xgb_reg,2.309
1500,0.0,5,True,0.0,0.97,5,0.9,0.2,1,2,1.0,max,False,"{'num_layers': 2, 'd_model': 512, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'adamax', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.0001}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 1.0, 'optimizer__global__lr': 0.0001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.27515252351716946, 'optimizer__global__lr': 0.06348308526612575}",./model_dir/expert_xgb_reg,2.299
1500,0.0,5,True,0.0,0.97,8,0.9,0.2,1,10,1.0,max,False,"{'num_layers': 2, 'd_model': 248, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.0006936023266844375, 'optimizer__global__lr': 0.10485775149588399}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 1.0, 'optimizer__global__lr': 0.0001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.0003653214195506531}",./model_dir/expert_xgb_reg,2.289
1500,0.0,5,True,0.0,0.97,9,0.9462446167658355,0.2,1,4,0.3787084020096959,max,False,"{'num_layers': 2, 'd_model': 338, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 5, 'use_attention': False, 'bidirectional': True, 'dropout': 0.5680779439239895, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.009949496719996297, 'optimizer__global__lr': 0.0038752528036731693}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0013571770847993323, 'optimizer__global__lr': 0.00325983235075259}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0002530812542305835, 'optimizer__global__lr': 0.10754136522348222}",./model_dir/expert_xgb_reg,2.262
1500,0.0,5,True,0.0,0.97,9,0.9023627473875855,0.2,1,7,1.0,max,False,"{'num_layers': 2, 'd_model': 441, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.003056646327492074, 'optimizer__global__lr': 0.7850015656866179}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 1.0, 'optimizer__global__lr': 0.0001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0010974508870860763, 'optimizer__global__lr': 0.002847650565218275}",./model_dir/expert_xgb_reg,2.257
1500,0.0,5,True,0.0,0.97,7,0.9605228010542038,0.2,1,3,0.00047204419114894495,max,False,"{'num_layers': 2, 'd_model': 183, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 9, 'use_attention': False, 'bidirectional': True, 'dropout': 0.11468347824908962, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.004292490543921524, 'optimizer__global__lr': 0.0007120973952065376}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0845587929091842, 'optimizer__global__lr': 0.0001591729668366765}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.03336203704080139, 'optimizer__global__lr': 0.0016180059673842747}",./model_dir/expert_xgb_reg,2.244
